iter	Passed	Remaining
685	17169	3553
686	17193	3528
687	17217	3503
688	17242	3478
689	17266	3453
690	17291	3428
691	17316	3403
692	17341	3378
693	17367	3353
694	17392	3328
695	17418	3303
696	17444	3278
697	17470	3253
698	17495	3228
699	17521	3203
700	17545	3178
701	17567	3153
702	17591	3127
703	17616	3102
704	17641	3077
705	17666	3052
706	17691	3027
707	17716	3002
708	17740	2977
709	17766	2952
710	17791	2927
711	17817	2902
712	17842	2877
713	17866	2852
714	17891	2827
715	17916	2802
716	17941	2777
717	17967	2752
718	17994	2727
719	18019	2702
720	18044	2677
721	18069	2652
722	18095	2628
723	18120	2603
724	18147	2578
725	18175	2553
726	18201	2528
727	18228	2503
728	18256	2479
729	18282	2454
730	18309	2429
731	18334	2404
732	18360	2379
733	18388	2354
734	18422	2331
735	18454	2306
736	18488	2282
737	18517	2258
738	18542	2233
739	18567	2208
740	18592	2182
741	18618	2157
742	18643	2132
743	18667	2107
744	18691	2082
745	18715	2057
746	18738	2031
747	18762	2006
748	18786	1981
749	18812	1956
750	18837	1931
751	18862	1906
752	18885	1880
753	18908	1855
754	18932	1830
755	18956	1805
756	18980	1780
757	19004	1755
758	19029	1729
759	19055	1705
760	19082	1680
761	19108	1655
762	19133	1629
763	19160	1605
764	19186	1580
765	19210	1554
766	19235	1529
767	19259	1504
768	19284	1479
769	19308	1454
770	19333	1429
771	19358	1404
772	19384	1379
773	19410	1354
774	19435	1329
775	19460	1304
776	19486	1279
777	19514	1254
778	19539	1229
779	19563	1203
780	19586	1178
781	19610	1153
782	19634	1128
783	19656	1103
784	19680	1078
785	19705	1052
786	19731	1027
787	19758	1002
788	19785	977
789	19811	952
790	19839	928
791	19865	902
792	19892	877
793	19920	853
794	19955	828
795	19987	803
796	20022	778
797	20051	753
798	20075	728
799	20100	703
800	20125	678
801	20155	653
802	20183	628
803	20209	603
804	20233	578
805	20258	552
806	20283	527
807	20308	502
808	20332	477
809	20358	452
810	20382	427
811	20406	402
812	20430	376
813	20453	351
814	20476	326
815	20501	301
816	20526	276
817	20550	251
818	20573	226
819	20601	200
820	20624	175
821	20650	150
822	20675	125
823	20699	100
824	20724	75
825	20749	50
826	20773	25
827	20798	0
