number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
26,0.8668889830590094,2026-01-04 12:03:40.362863,2026-01-04 12:03:41.255166,0 days 00:00:00.892303,0.7514216477891656,72,0.15398337172125892,5,149,3.695619143919506,1474,229,0.0011775195330999202,0.04029663951149436,0.8342648823201166,0.8715848033254586,0.8691353015958626,,COMPLETE
27,0.8684364496152401,2026-01-04 12:03:41.257299,2026-01-04 12:03:41.987707,0 days 00:00:00.730408,0.64011872668285,72,0.15706050561893203,6,154,3.9329840476678495,1452,227,0.0015100106738215678,0.03551311205001962,1.247692771616764,0.9759351029870195,0.8684364496152401,,PRUNED
28,0.8658086217025744,2026-01-04 12:03:41.989715,2026-01-04 12:03:43.414174,0 days 00:00:01.424459,0.7509661099705256,64,0.06845190968272818,4,200,0.7993117493153069,1215,203,0.010832331752277099,0.048667887400106614,2.579409507013005,0.8168024960981347,0.8685586433724033,,COMPLETE
29,0.8676145009679189,2026-01-04 12:03:43.416170,2026-01-04 12:03:44.184327,0 days 00:00:00.768157,0.8953550199664894,72,0.1639370689258212,7,168,5.193874390344915,2432,251,0.07844617309647142,0.017660341919737393,1.702855575258865,0.8737676511408337,0.8676145009679189,,PRUNED
30,0.8674119482620798,2026-01-04 12:03:44.186537,2026-01-04 12:03:45.019299,0 days 00:00:00.832762,0.719770241021066,73,0.2536857001496247,7,138,0.3239768839644098,693,228,0.001104218664651799,0.5628180440325008,0.651606326267733,0.9270705770795584,0.8674119482620798,,PRUNED
31,0.8670261049204957,2026-01-04 12:03:45.021448,2026-01-04 12:03:46.570617,0 days 00:00:01.549169,0.8071939844983685,58,0.03178252462266117,5,164,2.478916732782874,1621,166,4.39421329173722,0.12782204804619732,0.8745254174777312,0.8683030121808487,0.8670261049204957,,PRUNED
32,0.8675157828586838,2026-01-04 12:03:46.571743,2026-01-04 12:03:47.483840,0 days 00:00:00.912097,0.7644840812020833,53,0.06858525392409343,5,123,1.178308417568108,1803,177,1.7963865154570995,0.2605888373606072,0.6331007281991202,0.8344119937239499,0.8765542082807639,0.8675157828586838,PRUNED
33,0.8763345002937466,2026-01-04 12:03:47.486203,2026-01-04 12:03:47.973992,0 days 00:00:00.487789,0.8487699581934887,66,0.14189127384277445,6,186,1.2280712346390787,2080,155,0.24194722265963228,0.08680267276109511,0.8186321682600562,0.9064090258820432,0.8763345002937466,,PRUNED
34,0.8683813721335631,2026-01-04 12:03:47.976190,2026-01-04 12:03:49.067788,0 days 00:00:01.091598,0.7941376646183678,70,0.07906251507539688,5,141,0.07858228615810485,2337,109,0.5056250598399991,0.02154663504731403,0.9992222163635336,0.822289182699334,0.876631858500833,0.8683813721335631,PRUNED
35,0.86738606485539,2026-01-04 12:03:49.068785,2026-01-04 12:03:50.478631,0 days 00:00:01.409846,0.7204650391535903,61,0.044843876490180734,6,148,9.999660833064018,2587,126,4.36065523134662,0.3701730886701716,0.5922732073292113,0.789346803179916,0.86738606485539,,PRUNED
36,0.8655420226136703,2026-01-04 12:03:50.480627,2026-01-04 12:03:51.365637,0 days 00:00:00.885010,0.7642193157648715,77,0.1871484303268859,8,75,2.891300139148362,1890,154,0.0707756094108241,0.0521469576309986,1.3744227519213559,0.8611670447618678,0.8655420226136703,,PRUNED
37,0.8736022960387553,2026-01-04 12:03:51.367632,2026-01-04 12:03:52.450579,0 days 00:00:01.082947,0.9384006358570081,65,0.03360606248994578,4,100,0.1834860811684796,1243,178,0.2038476112157143,0.19786470125282785,0.6673548387953204,0.7371445657726154,0.8736022960387553,,PRUNED
38,0.8740013820535293,2026-01-04 12:03:52.452574,2026-01-04 12:03:52.919179,0 days 00:00:00.466605,0.6859511460413807,54,0.12879539645785676,5,177,6.055658444831222,2563,219,9.877339266623006,1.157202270538697,0.5138349698073348,0.7631259684639689,0.8740013820535293,,PRUNED
39,0.8652596527048763,2026-01-04 12:03:52.921174,2026-01-04 12:03:55.054696,0 days 00:00:02.133522,0.8972317449628354,85,0.0248671865718996,6,123,0.03436418333510364,2098,194,1.5137098662008532,2.4219658643461734,1.1737300760849159,0.6606944254202441,0.8680469946355135,,COMPLETE
40,0.8721744950929876,2026-01-04 12:03:55.055695,2026-01-04 12:03:56.655349,0 days 00:00:01.599654,0.9821116458539818,76,0.015939210015560087,4,109,1.5800693136771462,1662,126,0.697622847960715,0.10453253776497472,0.7643428593746014,0.9269077111435532,0.8721744950929876,,PRUNED
41,0.8664043012202522,2026-01-04 12:03:56.657750,2026-01-04 12:03:58.211861,0 days 00:00:01.554111,0.749112557559772,64,0.08329641909812019,4,194,0.6400667402530132,1230,199,0.013635704755046465,0.042505000493028446,2.454440104433599,0.8130676578094513,0.869143728751529,,COMPLETE
42,0.8683521780585759,2026-01-04 12:03:58.213962,2026-01-04 12:03:59.508991,0 days 00:00:01.295029,0.7328617627069067,59,0.06092901401205724,4,183,0.5237288274668676,963,231,0.011560236402450007,0.039292975504704446,2.5567631116716174,0.8461487625662785,0.8766848291935934,0.8683521780585759,PRUNED
43,0.873787091523726,2026-01-04 12:03:59.510218,2026-01-04 12:03:59.983813,0 days 00:00:00.473595,0.8135878331354235,68,0.21599547364432964,5,165,0.7512441555100893,1497,200,0.006876466500728161,0.010675351903247851,6.051802621135695,0.7995618750299658,0.873787091523726,,PRUNED
44,0.8662995637141124,2026-01-04 12:03:59.986136,2026-01-04 12:04:01.819618,0 days 00:00:01.833482,0.7785859077189786,73,0.09428920927005108,4,25,3.233497160565883,1118,179,0.36134248585454254,0.026052127933672172,2.5753372249778668,0.8972475846927507,0.8691903790775395,,COMPLETE
45,0.8666231664917028,2026-01-04 12:04:01.822366,2026-01-04 12:04:03.310734,0 days 00:00:01.488368,0.7054226245013807,74,0.09183447095902497,4,189,0.0022514959625669294,1312,216,0.0017721561927609205,0.025560408301612648,2.480610130925322,0.9051388980820817,0.8770441871887971,0.8694961644402923,COMPLETE
46,0.8761611416628945,2026-01-04 12:04:03.312242,2026-01-04 12:04:04.160026,0 days 00:00:00.847784,0.708541373089939,82,0.04913994403457364,4,87,0.0018993055159044377,838,241,0.0024069701374901933,0.02508483786615952,3.2048572480142137,0.8980110326973006,0.8761611416628945,,PRUNED
47,0.8668051930540976,2026-01-04 12:04:04.161024,2026-01-04 12:04:05.508792,0 days 00:00:01.347768,0.6673610105945498,73,0.07989669035239147,4,191,0.0043614644872896425,1097,211,0.0022870142807756514,0.016591085654853455,2.504250318967793,0.9737461965472366,0.8780205333667209,0.8697477752309041,COMPLETE
48,0.8690064865021043,2026-01-04 12:04:05.510937,2026-01-04 12:04:06.207960,0 days 00:00:00.697023,0.6568750195761647,79,0.2936891681929292,4,192,0.00803366431488598,1312,215,0.0023530962894477243,0.015193230045963908,4.499642129600556,0.9661954473062768,0.8780139120301258,0.8690064865021043,PRUNED
49,0.8685195172925233,2026-01-04 12:04:06.209042,2026-01-04 12:04:06.710158,0 days 00:00:00.501116,0.6892954886025451,71,0.004610687443052217,10,200,0.0016273929651768658,1342,254,0.001695518844286314,0.07021075639894966,2.0788113999114675,0.9459715210131664,0.8685195172925233,,PRUNED
50,0.8689360595583207,2026-01-04 12:04:06.712596,2026-01-04 12:04:07.692747,0 days 00:00:00.980151,0.6025777294744453,74,0.12985224051501654,4,173,0.0027163836886157145,1077,211,0.004251405991881463,41.69962194710264,3.1319489778712097,0.9933089298600347,0.877373448199478,0.8689360595583207,PRUNED
