number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
28,0.8616658319769626,2026-03-01 13:53:30.547845,2026-03-01 13:53:31.685947,0 days 00:00:01.138102,0.8078512340928479,95,3.4493064738736687,0.08825053777458226,5,4.157069776817201,749,0.2547940767184272,0.857294128445524,1.106214770576381,0.6016582093897359,0.8703512197705887,0.8616658319769626,PRUNED
29,0.8689210110660592,2026-03-01 13:53:31.688451,2026-03-01 13:53:36.578612,0 days 00:00:04.890161,0.7210839570696738,86,2.7884894213794102,0.004605970178031705,4,1.4543741349611758,1547,1.8043764088279879,1.3122964367337502,9.72489842496108,0.6986087204230561,0.8689210110660592,,PRUNED
30,0.8625795764270786,2026-03-01 13:53:36.580947,2026-03-01 13:53:39.061211,0 days 00:00:02.480264,0.8434103760425019,100,2.160136067728273,0.02681143401205494,6,0.45731940237033103,652,0.7288588866599658,0.2761692963724517,0.6234019065839467,0.6445497167009114,0.870985664204332,0.8625795764270786,PRUNED
31,0.8607246390769617,2026-03-01 13:53:39.063379,2026-03-01 13:53:42.304150,0 days 00:00:03.240771,0.8522919985447143,93,3.813577165372379,0.0252346032172159,5,3.5704574455902636,744,0.4026976458643654,0.5384995433096396,0.7788355544178976,0.6834414806069503,0.8631035649276229,,COMPLETE
32,0.8615382207625853,2026-03-01 13:53:42.308649,2026-03-01 13:53:45.590143,0 days 00:00:03.281494,0.772970696672257,93,4.2941468733033314,0.014164532829556908,5,3.2923446800051424,855,0.09471278284523406,3.0379410584485305,0.8406137332480824,0.6681707739597457,0.8706112577168669,0.8615382207625853,PRUNED
33,0.8700171432423842,2026-03-01 13:53:45.592140,2026-03-01 13:53:46.816557,0 days 00:00:01.224417,0.9250651325071485,90,3.242519394266137,0.035251180928057416,4,5.830388072218196,1447,0.19391072954808533,0.3944343230662095,0.7856084227488846,0.6312482938650317,0.8700171432423842,,PRUNED
34,0.861953860118847,2026-03-01 13:53:46.820057,2026-03-01 13:53:49.356809,0 days 00:00:02.536752,0.8114688325969239,97,3.89878360226966,0.021249746819643183,5,1.2404657636331897,685,1.082852163888961,0.10167342629063658,0.5938235090271036,0.7106577971366,0.861953860118847,,PRUNED
35,0.862465809825582,2026-03-01 13:53:49.359308,2026-03-01 13:53:50.797254,0 days 00:00:01.437946,0.9696416633985732,91,3.6870427962603083,0.06721307060389375,6,3.125360706752898,929,2.5570292041530047,1.185600719018603,1.6722198390752632,0.745186119410613,0.871996320944612,0.862465809825582,PRUNED
36,0.8676394814650732,2026-03-01 13:53:50.799771,2026-03-01 13:53:52.260462,0 days 00:00:01.460691,0.7687875779476971,81,2.5114602405420277,0.018456187123039775,6,6.612363185947236,519,0.5762781364881208,0.1858842724440643,0.504530458114411,0.6804836823936596,0.8676394814650732,,PRUNED
37,0.8600405948127244,2026-03-01 13:53:52.262553,2026-03-01 13:53:54.567049,0 days 00:00:02.304496,0.999834245538247,87,3.046134999447979,0.031010968083877537,5,0.49089667998159225,1155,0.33742542133283776,0.44970730331859776,1.2932263642637971,0.649377972382896,0.8711596247748745,0.862699663395325,COMPLETE
