number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
33,0.8648045862988896,2026-01-01 18:03:47.920804,2026-01-01 18:03:53.102251,0 days 00:00:05.181447,0.7057004315044884,56,1.633494713070037,0.01795136721711753,8,0.040966762473443316,2740,0.2716273539398916,34.05210493833376,0.8292108100125438,0.9184414276321538,0.8677908692972234,,COMPLETE
34,0.8723358149300307,2026-01-01 18:03:53.105243,2026-01-01 18:03:53.865623,0 days 00:00:00.760380,0.983481151654543,82,1.0073560400957215,0.11971725213006318,6,0.012797013958745447,2953,0.10116289114138614,3.808051566844963,0.6186097291663631,0.8487702311896526,0.8723358149300307,,PRUNED
35,0.865637430054608,2026-01-01 18:03:53.868121,2026-01-01 18:03:55.871121,0 days 00:00:02.003000,0.9218497883980534,58,2.1945366140677507,0.06387807664154391,5,0.1218096878078808,2144,0.02932524567004946,9.197063153538526,1.0794357986188288,0.8128597781624736,0.876088306960349,0.8689793992160337,COMPLETE
36,0.8647102021554256,2026-01-01 18:03:55.873118,2026-01-01 18:03:58.262957,0 days 00:00:02.389839,0.9539161681178054,57,2.203190461468929,0.03560303261886535,4,0.12950192368469893,2237,0.025222872630361413,11.098297421807523,1.3249237438363373,0.7810269718695062,0.8749903689649525,0.8677439180013675,COMPLETE
37,0.8666161839912935,2026-01-01 18:03:58.264952,2026-01-01 18:04:00.267860,0 days 00:00:02.002908,0.9166373611085686,87,2.7772086173896646,0.06861480247978267,4,0.4805478332835244,1557,0.014140625958137315,4.715145034819822,1.6860391705718276,0.6359907085552641,0.8769599156321328,0.8689480983521298,COMPLETE
38,0.8687897882135392,2026-01-01 18:04:00.270853,2026-01-01 18:04:03.631132,0 days 00:00:03.360279,0.9557882295914003,86,2.7503230698521306,0.02400582709152658,4,0.405665909820313,669,0.005318365248762053,4.728594036140152,1.719787464720842,0.6372815908541273,0.875957084107829,0.8687897882135392,PRUNED
39,0.8676858308212384,2026-01-01 18:04:03.634124,2026-01-01 18:04:08.835449,0 days 00:00:05.201325,0.998173954559218,90,4.132379160933985,0.013581535807823196,10,0.49215772061657465,1545,5.15270188809033,2.4605609666130275,2.052240175192706,0.6498331149811544,0.8751396500081864,0.8676858308212384,PRUNED
40,0.866275486126494,2026-01-01 18:04:08.837458,2026-01-01 18:04:11.179165,0 days 00:00:02.341707,0.8010680727939604,94,3.271108826479425,0.04329601460893906,5,2.1856233893239594,1765,0.014018357878938927,0.2378233912810949,1.525978487597571,0.6902442390449378,0.8759823655748282,0.8694139996725447,COMPLETE
41,0.867182488852077,2026-01-01 18:04:11.181513,2026-01-01 18:04:13.593949,0 days 00:00:02.412436,0.801313146446868,94,3.2000097015199813,0.04125873736565772,4,1.7121493330386635,1424,0.012617940046885531,0.3200811320562572,1.6298846872143213,0.6640627380649167,0.8702546084502703,,COMPLETE
42,0.8672787992025504,2026-01-01 18:04:13.596942,2026-01-01 18:04:15.654474,0 days 00:00:02.057532,0.7936307413158935,93,3.285813414823541,0.04706143294918524,4,1.9496694575027278,1419,0.011477845934955263,0.1576807342159249,1.4225393283521524,0.6917600987602702,0.8700517547745856,,COMPLETE
