number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
45,0.8740609740828846,2025-12-31 00:27:31.250613,2025-12-31 00:27:37.905259,0 days 00:00:06.654646,,12,0.4152515961444381,13,32,1158,0.8740609740828846,,PRUNED
46,0.8648438327667074,2025-12-31 00:27:37.905259,2025-12-31 00:27:59.907044,0 days 00:00:22.001785,,12,0.42205601512833896,10,29,1375,0.8683022170642679,,COMPLETE
47,0.8618060839248394,2025-12-31 00:27:59.908480,2025-12-31 00:28:14.634188,0 days 00:00:14.725708,,12,0.40590195181754196,41,26,1473,0.8618060839248394,,PRUNED
48,0.8645211930926218,2025-12-31 00:28:14.636217,2025-12-31 00:28:36.816718,0 days 00:00:22.180501,,13,0.4172968614204966,9,35,1369,0.8751191840587109,0.8682654987431501,COMPLETE
49,0.8635995030385916,2025-12-31 00:28:36.818735,2025-12-31 00:29:01.776545,0 days 00:00:24.957810,,13,0.5155099818346907,4,36,1376,0.8674486665831977,,COMPLETE
50,0.8635913166588012,2025-12-31 00:29:01.776545,2025-12-31 00:29:25.077392,0 days 00:00:23.300847,,13,0.5461501566492134,9,29,1306,0.8673752299409616,,COMPLETE
51,0.8646420625824657,2025-12-31 00:29:25.079392,2025-12-31 00:29:43.903387,0 days 00:00:18.823995,,12,0.40472541831064873,10,33,1300,0.868030742263871,,COMPLETE
52,0.864742225346958,2025-12-31 00:29:43.904391,2025-12-31 00:30:06.184986,0 days 00:00:22.280595,,12,0.4275472832228248,9,29,1375,0.8756043474492203,0.8684472845296685,COMPLETE
53,0.8644383661912146,2025-12-31 00:30:06.186021,2025-12-31 00:30:29.139650,0 days 00:00:22.953629,,13,0.42127509451041223,10,30,1398,0.8750409318989512,0.8680903342932265,COMPLETE
54,0.8645563463705445,2025-12-31 00:30:29.140654,2025-12-31 00:30:49.872777,0 days 00:00:20.732123,,12,0.4201457882096408,6,24,1235,0.8758451233254039,0.8685887403569262,COMPLETE
55,0.8445108517687395,2025-12-31 00:30:49.874845,2025-12-31 00:30:59.951776,0 days 00:00:10.076931,,4,0.4010969224783017,6,23,1241,0.8445108517687395,,PRUNED
56,0.8650480107097109,2025-12-31 00:30:59.952789,2025-12-31 00:31:20.890667,0 days 00:00:20.937878,,10,0.468217407522549,3,25,1298,0.8686025849698067,,COMPLETE
57,0.8650354903641494,2025-12-31 00:31:20.891701,2025-12-31 00:31:41.881987,0 days 00:00:20.990286,,10,0.42633255453635044,3,25,1281,0.8685760996234265,,COMPLETE
58,0.865154433646984,2025-12-31 00:31:41.883994,2025-12-31 00:32:04.570435,0 days 00:00:22.686441,,10,0.48009197800989317,4,27,1437,0.8754237655420828,0.8687506621336595,COMPLETE
59,0.8651414317496702,2025-12-31 00:32:04.571432,2025-12-31 00:32:27.422354,0 days 00:00:22.850922,,10,0.4869666890726878,3,27,1444,0.8686507401450434,,COMPLETE
60,0.8636462135585711,2025-12-31 00:32:27.423389,2025-12-31 00:32:56.557342,0 days 00:00:29.133953,,10,0.9288586091943043,3,28,1450,0.8636462135585711,,PRUNED
61,0.8655406381523821,2025-12-31 00:32:56.558611,2025-12-31 00:33:16.137361,0 days 00:00:19.578750,,9,0.47764438587122987,6,24,1308,0.8688873024433935,,COMPLETE
62,0.8746580982558196,2025-12-31 00:33:16.139513,2025-12-31 00:33:24.583164,0 days 00:00:08.443651,,9,0.49057074877415835,3,25,1414,0.8746580982558196,,PRUNED
63,0.8652016257187161,2025-12-31 00:33:24.584167,2025-12-31 00:33:46.610766,0 days 00:00:22.026599,,9,0.517450972505513,7,21,1326,0.8750313008639037,0.8685345657847848,COMPLETE
64,0.8650850901946432,2025-12-31 00:33:46.611803,2025-12-31 00:34:07.055890,0 days 00:00:20.444087,,8,0.5083207449293972,7,21,1323,0.8682540618890312,,COMPLETE
65,0.8737395382881799,2025-12-31 00:34:07.056903,2025-12-31 00:34:15.172507,0 days 00:00:08.115604,,8,0.5169161508086286,7,21,1310,0.8737395382881799,,PRUNED
66,0.8648163843168225,2025-12-31 00:34:15.174585,2025-12-31 00:34:34.819340,0 days 00:00:19.644755,,9,0.5696967068108212,5,20,1189,0.8681384894684632,,COMPLETE
67,0.8670658329400661,2025-12-31 00:34:34.820486,2025-12-31 00:34:50.738852,0 days 00:00:15.918366,,7,0.5347141371945531,3,24,1340,0.8670658329400661,,PRUNED
68,0.8671844150590865,2025-12-31 00:34:50.739876,2025-12-31 00:35:08.797306,0 days 00:00:18.057430,,7,0.5974151253547102,7,16,1440,0.8671844150590865,,PRUNED
69,0.8744654775548729,2025-12-31 00:35:08.798683,2025-12-31 00:35:18.424235,0 days 00:00:09.625552,,10,0.47054602480793295,1,27,1496,0.8744654775548729,,PRUNED
70,0.873767227513941,2025-12-31 00:35:18.425670,2025-12-31 00:35:26.384956,0 days 00:00:07.959286,,8,0.5193031561964909,4,20,1267,0.873767227513941,,PRUNED
71,0.8655671234987625,2025-12-31 00:35:26.386383,2025-12-31 00:35:46.629673,0 days 00:00:20.243290,,9,0.4811341313003555,6,24,1342,0.8752732806194682,0.8689288362820353,COMPLETE
72,0.8653966541784246,2025-12-31 00:35:46.631836,2025-12-31 00:36:06.952515,0 days 00:00:20.320679,,9,0.48596884031776044,6,22,1330,0.8688060405851817,,COMPLETE
73,0.8657626335102233,2025-12-31 00:36:06.953811,2025-12-31 00:36:27.049537,0 days 00:00:20.095726,,9,0.48726312627554236,6,23,1339,0.8691021949128873,,COMPLETE
74,0.8654043590064624,2025-12-31 00:36:27.050860,2025-12-31 00:36:47.246996,0 days 00:00:20.196136,,9,0.49636417041617303,6,22,1340,0.8753431056235614,0.8688006231279676,COMPLETE
75,0.8656956978166443,2025-12-31 00:36:47.247993,2025-12-31 00:37:05.841584,0 days 00:00:18.593591,,9,0.4863656580559825,6,23,1213,0.8756320366749816,0.8690263505118895,COMPLETE
76,0.8651178357138042,2025-12-31 00:37:05.842590,2025-12-31 00:37:25.481619,0 days 00:00:19.639029,,9,0.5537414544748203,6,23,1202,0.8684912261270719,,COMPLETE
77,0.8653528329689593,2025-12-31 00:37:25.482661,2025-12-31 00:37:46.052615,0 days 00:00:20.569954,,9,0.4969598321352155,8,18,1355,0.8749650874979534,0.8685538278548797,COMPLETE
78,0.8680108782540861,2025-12-31 00:37:46.053618,2025-12-31 00:38:03.871732,0 days 00:00:17.818114,,9,0.534263264405437,8,18,1347,0.8680108782540861,,PRUNED
79,0.8668238531845018,2025-12-31 00:38:03.872750,2025-12-31 00:38:21.900435,0 days 00:00:18.027685,,8,0.6794645753329227,6,13,1229,0.8668238531845018,,PRUNED
80,0.8739791102849823,2025-12-31 00:38:21.901473,2025-12-31 00:38:29.708906,0 days 00:00:07.807433,,9,0.5862432564591992,12,19,1108,0.8739791102849823,,PRUNED
