number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
13,0.859474049176065,2026-01-01 10:51:51.739755,2026-01-01 10:53:17.708661,0 days 00:01:25.968906,,7,0.5690589336218859,35,14,1495,0.8618199285377199,,COMPLETE
14,0.8590074255280215,2026-01-01 10:53:17.709884,2026-01-01 10:53:47.709805,0 days 00:00:29.999921,,8,0.5416428343727235,34,38,490,0.8614816384316822,,COMPLETE
15,0.8601970991322438,2026-01-01 10:53:47.712801,2026-01-01 10:54:04.571537,0 days 00:00:16.858736,,8,0.6480791636181754,47,2,300,0.8601970991322438,,PRUNED
16,0.8614395026533502,2026-01-01 10:54:04.573577,2026-01-01 10:54:29.826150,0 days 00:00:25.252573,,6,0.5104154792022756,15,35,702,0.8675431711145997,0.8614395026533502,PRUNED
17,0.8579970095636178,2026-01-01 10:54:29.828616,2026-01-01 10:54:37.290151,0 days 00:00:07.461535,,4,0.6506943198115224,32,15,456,0.8579970095636178,,PRUNED
18,0.8612619304446649,2026-01-01 10:54:37.293160,2026-01-01 10:55:12.209831,0 days 00:00:34.916671,,9,0.4854473286914887,43,9,834,0.8678188594928297,0.8612619304446649,PRUNED
19,0.866507834847011,2026-01-01 10:55:12.213640,2026-01-01 10:55:30.077525,0 days 00:00:17.863885,,7,0.7336040476050103,6,19,590,0.866507834847011,,PRUNED
20,0.8672458129075131,2026-01-01 10:55:30.080732,2026-01-01 10:55:40.243072,0 days 00:00:10.162340,,6,0.6248185646060875,37,38,420,0.8672458129075131,,PRUNED
21,0.8595438741801582,2026-01-01 10:55:40.246658,2026-01-01 10:57:08.177362,0 days 00:01:27.930704,,7,0.5863503866739358,32,10,1490,0.8690889522396972,0.8620504714391656,COMPLETE
22,0.8599869017923357,2026-01-01 10:57:08.179364,2026-01-01 10:58:16.668338,0 days 00:01:08.488974,,7,0.4720866986711493,30,7,1466,0.8687988173088962,0.8621076557097591,COMPLETE
23,0.8592583139910046,2026-01-01 10:58:16.670423,2026-01-01 10:59:06.239941,0 days 00:00:49.569518,,9,0.46986937058810746,28,5,945,0.8617374628001271,,COMPLETE
24,0.8569081006635783,2026-01-01 10:59:06.242163,2026-01-01 10:59:45.608963,0 days 00:00:39.366800,,5,0.45717104907977013,18,7,1336,0.8569081006635783,,PRUNED
25,0.8616712494341767,2026-01-01 10:59:45.611164,2026-01-01 11:00:31.110849,0 days 00:00:45.499685,,8,0.5278490291002331,30,28,1051,0.8691154375860773,0.8616712494341767,PRUNED
26,0.8578663886507883,2026-01-01 11:00:31.112242,2026-01-01 11:00:54.212834,0 days 00:00:23.100592,,5,0.6130045016149354,39,16,630,0.8578663886507883,,PRUNED
27,0.8599228554092708,2026-01-01 11:00:54.214340,2026-01-01 11:01:32.994845,0 days 00:00:38.780505,,7,0.5049477875419738,24,21,791,0.8688553996397992,0.8622406843813504,COMPLETE
28,0.8590233167358496,2026-01-01 11:01:32.996906,2026-01-01 11:02:15.737743,0 days 00:00:42.740837,,9,0.4983173189963017,25,21,775,0.861732045342913,,COMPLETE
29,0.8648946364765822,2026-01-01 11:02:15.739993,2026-01-01 11:02:37.731303,0 days 00:00:21.991310,balanced,6,0.4496492958272415,17,24,1382,0.8648946364765822,,PRUNED
30,0.8667967658984311,2026-01-01 11:02:37.734728,2026-01-01 11:03:12.026676,0 days 00:00:34.291948,,11,0.7626158311862259,43,35,1100,0.8667967658984311,,PRUNED
31,0.8597326424670859,2026-01-01 11:03:12.028803,2026-01-01 11:03:33.702521,0 days 00:00:21.673718,,7,0.5397869519134052,26,17,394,0.8686820410089473,0.8621160828654255,COMPLETE
32,0.8616242981383209,2026-01-01 11:03:33.706052,2026-01-01 11:03:56.026683,0 days 00:00:22.320631,,7,0.6721982632753881,25,17,412,0.8684472845296684,0.8616242981383209,PRUNED
33,0.868074081921584,2026-01-01 11:03:56.029365,2026-01-01 11:04:11.001625,0 days 00:00:14.972260,,8,0.602964087733674,21,24,581,0.868074081921584,,PRUNED
34,0.8667630572757654,2026-01-01 11:04:11.004132,2026-01-01 11:04:28.839851,0 days 00:00:17.835719,balanced,10,0.5174693945554393,34,27,812,0.8667630572757654,,PRUNED
35,0.8622545289942312,2026-01-01 11:04:28.842016,2026-01-01 11:04:43.377863,0 days 00:00:14.535847,,5,0.4780635225711217,13,13,975,0.8622545289942312,,PRUNED
36,0.8506036853155609,2026-01-01 11:04:43.378915,2026-01-01 11:05:25.954229,0 days 00:00:42.575314,balanced,4,0.69672970004636,20,21,1217,0.8506036853155609,,PRUNED
37,0.8605540493686856,2026-01-01 11:05:25.956725,2026-01-01 11:05:37.640996,0 days 00:00:11.684271,,6,0.4381335471851272,26,31,392,0.8605540493686856,,PRUNED
38,0.8673264728260346,2026-01-01 11:05:37.643058,2026-01-01 11:05:58.655294,0 days 00:00:21.012236,,9,0.8430507874260855,28,19,670,0.8673264728260346,,PRUNED
39,0.8603782829790717,2026-01-01 11:05:58.657326,2026-01-01 11:06:18.381752,0 days 00:00:19.724426,balanced,7,0.5536097545091361,24,40,509,0.8603782829790717,,PRUNED
40,0.867944062948445,2026-01-01 11:06:18.383801,2026-01-01 11:06:42.959337,0 days 00:00:24.575536,,10,0.5033565180422904,20,43,1156,0.867944062948445,,PRUNED
41,0.8594841617628648,2026-01-01 11:06:42.960715,2026-01-01 11:06:59.108830,0 days 00:00:16.148115,,7,0.5604798575368471,31,12,332,0.8617970548294827,,COMPLETE
42,0.8669689206499023,2026-01-01 11:06:59.110323,2026-01-01 11:07:05.658506,0 days 00:00:06.548183,,6,0.5349174699437904,36,7,396,0.8669689206499023,,PRUNED
43,0.8597196405697719,2026-01-01 11:07:05.660585,2026-01-01 11:07:30.088954,0 days 00:00:24.428369,,8,0.4252764578617408,27,8,565,0.868902350935655,0.8621419662721153,COMPLETE
44,0.8612878138513547,2026-01-01 11:07:30.090949,2026-01-01 11:07:52.165306,0 days 00:00:22.074357,,14,0.41944567101326885,27,8,573,0.8681968776184377,0.8612878138513547,PRUNED
45,0.859824618851788,2026-01-01 11:07:52.167960,2026-01-01 11:08:26.676778,0 days 00:00:34.508818,,8,0.43619641618258287,22,2,739,0.8690672824108407,0.8622792085215398,COMPLETE
46,0.8612908235498069,2026-01-01 11:08:26.677821,2026-01-01 11:08:57.873387,0 days 00:00:31.195566,,11,0.47719838682469196,22,5,754,0.8612908235498069,,PRUNED
47,0.8609013685700803,2026-01-01 11:08:57.876425,2026-01-01 11:09:30.929776,0 days 00:00:33.053351,balanced,8,0.4448814214154747,16,3,887,0.8609013685700803,,PRUNED
48,0.861107231944217,2026-01-01 11:09:30.931932,2026-01-01 11:10:13.687175,0 days 00:00:42.755243,,7,0.57803711032854,11,2,872,0.861107231944217,,PRUNED
49,0.8615189586924907,2026-01-01 11:10:13.689333,2026-01-01 11:10:50.502898,0 days 00:00:36.813565,,9,0.40801848900387927,23,31,996,0.8682016931359614,0.8615189586924907,PRUNED
50,0.86163633693213,2026-01-01 11:10:50.504893,2026-01-01 11:11:09.564022,0 days 00:00:19.059129,,8,0.5076242974426628,33,17,464,0.8689276324026542,0.86163633693213,PRUNED
51,0.8618650740145043,2026-01-01 11:11:09.566072,2026-01-01 11:11:35.644592,0 days 00:00:26.078520,,8,0.43902602440009375,29,7,721,0.8686784293708045,0.8618650740145043,PRUNED
52,0.8598905914418623,2026-01-01 11:11:35.645827,2026-01-01 11:12:01.499480,0 days 00:00:25.853653,,7,0.4226342837667642,27,5,652,0.8619011903959318,,COMPLETE
53,0.8671711723858964,2026-01-01 11:12:01.501662,2026-01-01 11:12:11.795502,0 days 00:00:10.293840,,6,0.472533363172846,30,4,655,0.8671711723858964,,PRUNED
54,0.862028801610309,2026-01-01 11:12:11.798074,2026-01-01 11:12:43.530947,0 days 00:00:31.732873,,7,0.5296588735848576,20,5,803,0.868916797488226,0.862028801610309,PRUNED
55,0.86129503712764,2026-01-01 11:12:43.531949,2026-01-01 11:13:06.080667,0 days 00:00:22.548718,,7,0.40403022485594103,38,29,730,0.86129503712764,,PRUNED
56,0.8669544740973313,2026-01-01 11:13:06.082678,2026-01-01 11:13:19.380113,0 days 00:00:13.297435,,6,0.4633246960737483,24,50,839,0.8669544740973313,,PRUNED
57,0.8629587984320676,2026-01-01 11:13:19.381115,2026-01-01 11:13:24.579251,0 days 00:00:05.198136,,5,0.49102641681405246,26,35,355,0.8629587984320676,,PRUNED
58,0.8619011903959318,2026-01-01 11:13:24.580256,2026-01-01 11:13:47.392475,0 days 00:00:22.812219,,9,0.42617778900174497,29,11,618,0.8688096522233244,0.8619011903959318,PRUNED
59,0.8610512515530043,2026-01-01 11:13:47.394841,2026-01-01 11:14:23.575587,0 days 00:00:36.180746,,6,0.6386735797323225,22,25,920,0.8610512515530043,,PRUNED
60,0.8625807803064596,2026-01-01 11:14:23.577093,2026-01-01 11:14:36.077715,0 days 00:00:12.500622,balanced,7,0.9222111078804687,50,22,531,0.8625807803064596,,PRUNED
61,0.8597490152266662,2026-01-01 11:14:36.079002,2026-01-01 11:15:01.939400,0 days 00:00:25.860398,,8,0.42514678190090693,27,9,699,0.869090156119078,0.8622780046421588,COMPLETE
62,0.8618452100047193,2026-01-01 11:15:01.941408,2026-01-01 11:15:24.245479,0 days 00:00:22.304071,,8,0.45785881398419925,32,14,694,0.8687566815305642,0.8618452100047193,PRUNED
63,0.8596334428060983,2026-01-01 11:15:24.246988,2026-01-01 11:15:53.993703,0 days 00:00:29.746715,,7,0.4890061574190459,34,9,771,0.8618981806974795,,COMPLETE
64,0.8618247440552436,2026-01-01 11:15:53.994789,2026-01-01 11:16:13.956986,0 days 00:00:19.962197,,8,0.591060778598716,27,6,446,0.8687795552388015,0.8618247440552436,PRUNED
65,0.8568334601419616,2026-01-01 11:16:13.958489,2026-01-01 11:16:28.899263,0 days 00:00:14.940774,,9,0.5215026258221691,2,2,305,0.8568334601419616,,PRUNED
66,0.8659997977482641,2026-01-01 11:16:28.900703,2026-01-01 11:16:37.323064,0 days 00:00:08.422361,,6,0.433081814306676,24,10,628,0.8659997977482641,,PRUNED
67,0.8600928431778565,2026-01-01 11:16:37.325078,2026-01-01 11:17:16.036072,0 days 00:00:38.710994,,7,0.45026650531253715,19,19,857,0.8623514412843949,,COMPLETE
68,0.8598318421280734,2026-01-01 11:17:16.038625,2026-01-01 11:17:44.757544,0 days 00:00:28.718919,,7,0.4027640436435914,18,18,800,0.8620281996706185,,COMPLETE
69,0.8594152998622763,2026-01-01 11:17:44.758611,2026-01-01 11:18:18.652903,0 days 00:00:33.894292,,8,0.40230948061214733,18,15,857,0.8618747050495517,,COMPLETE
70,0.8597114541899817,2026-01-01 11:18:18.654966,2026-01-01 11:18:48.950038,0 days 00:00:30.295072,,7,0.45357761323532586,14,19,782,0.8618831322052181,,COMPLETE
71,0.859681597981335,2026-01-01 11:18:48.950852,2026-01-01 11:19:14.842302,0 days 00:00:25.891450,,7,0.4182959113932286,20,17,710,0.8619397145361212,,COMPLETE
72,0.8686495362656623,2026-01-01 11:19:14.843714,2026-01-01 11:19:27.377603,0 days 00:00:12.533889,,7,0.4439003489355295,18,19,806,0.8686495362656623,,PRUNED
73,0.8595684333195288,2026-01-01 11:19:27.380021,2026-01-01 11:20:00.109809,0 days 00:00:32.729788,,8,0.45991673759954915,22,23,743,0.8620474617407133,,COMPLETE
74,0.867204881008562,2026-01-01 11:20:00.110845,2026-01-01 11:20:13.381274,0 days 00:00:13.270429,,6,0.48285856551245665,25,12,925,0.867204881008562,,PRUNED
75,0.8684930319461432,2026-01-01 11:20:13.382545,2026-01-01 11:20:28.485260,0 days 00:00:15.102715,,7,0.4154428235611397,19,20,1039,0.8684930319461432,,PRUNED
76,0.8615370168832044,2026-01-01 11:20:28.487321,2026-01-01 11:21:06.894040,0 days 00:00:38.406719,,8,0.498011998175558,16,3,967,0.8615370168832044,,PRUNED
77,0.8593591990831255,2026-01-01 11:21:06.896047,2026-01-01 11:21:47.403270,0 days 00:00:40.507223,balanced,6,0.4365915260058232,23,15,1433,0.8593591990831255,,PRUNED
78,0.8617446860764126,2026-01-01 11:21:47.405364,2026-01-01 11:22:11.059886,0 days 00:00:23.654522,,9,0.4703138895492808,28,26,657,0.8617446860764126,,PRUNED
79,0.8597230114320386,2026-01-01 11:22:11.061917,2026-01-01 11:22:48.791954,0 days 00:00:37.730037,,7,0.5132759061696373,30,18,903,0.8689228168851306,0.8620336171278327,COMPLETE
80,0.8679717521742062,2026-01-01 11:22:48.793370,2026-01-01 11:23:13.497390,0 days 00:00:24.704020,,8,0.8206980783699658,26,13,833,0.8679717521742062,,PRUNED
81,0.8681631689957718,2026-01-01 11:23:13.498394,2026-01-01 11:23:20.434529,0 days 00:00:06.936135,,7,0.5551486015067939,31,21,351,0.8681631689957718,,PRUNED
82,0.8676370737063113,2026-01-01 11:23:20.436773,2026-01-01 11:23:32.282990,0 days 00:00:11.846217,,6,0.5400926222330088,12,4,685,0.8676370737063113,,PRUNED
83,0.8684701582379057,2026-01-01 11:23:32.284002,2026-01-01 11:23:51.066942,0 days 00:00:18.782940,,7,0.4213122736720015,28,33,1292,0.8684701582379057,,PRUNED
84,0.8597307162600764,2026-01-01 11:23:51.068346,2026-01-01 11:24:27.436296,0 days 00:00:36.367950,,8,0.44849995850364294,21,23,861,0.8621365488149011,,COMPLETE
85,0.8597177143627626,2026-01-01 11:24:27.437647,2026-01-01 11:25:04.319396,0 days 00:00:36.881749,,8,0.4496739077570581,21,23,866,0.8621136751066637,,COMPLETE
86,0.860722592482014,2026-01-01 11:25:04.320393,2026-01-01 11:25:32.312171,0 days 00:00:27.991778,,10,0.4035050402486548,16,6,772,0.860722592482014,,PRUNED
87,0.8599830493783166,2026-01-01 11:25:32.314203,2026-01-01 11:26:02.364783,0 days 00:00:30.050580,,7,0.43546939102694504,23,22,816,0.8622737910643257,,COMPLETE
88,0.8569893625217901,2026-01-01 11:26:02.365818,2026-01-01 11:26:23.390327,0 days 00:00:21.024509,,5,0.4291589230609489,24,9,811,0.8569893625217901,,PRUNED
89,0.8601405168013406,2026-01-01 11:26:23.391835,2026-01-01 11:26:42.176144,0 days 00:00:18.784309,balanced,7,0.47571320326538036,25,21,603,0.8601405168013406,,PRUNED
90,0.864227687299554,2026-01-01 11:26:42.177305,2026-01-01 11:27:04.733667,0 days 00:00:22.556362,,12,0.46315027904716133,8,16,1007,0.864227687299554,,PRUNED
91,0.8619541610886923,2026-01-01 11:27:04.735781,2026-01-01 11:27:31.635838,0 days 00:00:26.900057,,8,0.44209882516105603,19,24,840,0.8688614190367039,0.8619541610886923,PRUNED
92,0.8613287457503058,2026-01-01 11:27:31.636938,2026-01-01 11:27:54.981123,0 days 00:00:23.344185,,9,0.4208375120921432,21,27,740,0.8613287457503058,,PRUNED
93,0.8599623426529648,2026-01-01 11:27:54.983768,2026-01-01 11:28:33.352986,0 days 00:00:38.369218,,7,0.4963401661382349,23,22,945,0.862341208309657,,COMPLETE
94,0.867407132744556,2026-01-01 11:28:33.355980,2026-01-01 11:28:51.799049,0 days 00:00:18.443069,,6,0.49671200828158424,23,18,1120,0.867407132744556,,PRUNED
95,0.8598332867833307,2026-01-01 11:28:51.801177,2026-01-01 11:29:38.299317,0 days 00:00:46.498140,,7,0.48106663584491244,27,20,1189,0.8689541177490345,0.8620757529061649,COMPLETE
96,0.8598747002340341,2026-01-01 11:29:38.300352,2026-01-01 11:30:32.295452,0 days 00:00:53.995100,,7,0.4855013930139161,27,22,1371,0.8686964875615182,0.8621269177798537,COMPLETE
97,0.8686483323862815,2026-01-01 11:30:32.296488,2026-01-01 11:30:56.054261,0 days 00:00:23.757773,,7,0.4858947749867594,17,25,1476,0.8686483323862815,,PRUNED
98,0.8673746280012713,2026-01-01 11:30:56.056726,2026-01-01 11:31:15.822266,0 days 00:00:19.765540,,6,0.5066481759064762,24,22,1408,0.8673746280012713,,PRUNED
99,0.8685303522069516,2026-01-01 11:31:15.823399,2026-01-01 11:31:35.864074,0 days 00:00:20.040675,,7,0.4657137937357055,19,20,1331,0.8685303522069516,,PRUNED
100,0.8631754967206325,2026-01-01 11:31:35.865074,2026-01-01 11:31:54.507566,0 days 00:00:18.642492,,5,0.520607314460417,23,22,1451,0.8631754967206325,,PRUNED
101,0.8686399052306151,2026-01-01 11:31:54.508718,2026-01-01 11:32:11.052275,0 days 00:00:16.543557,,7,0.4106274903426275,27,25,1254,0.8686399052306151,,PRUNED
102,0.8597124172934866,2026-01-01 11:32:11.053276,2026-01-01 11:32:55.354056,0 days 00:00:44.300780,,8,0.433856823613352,30,18,1216,0.8689216130057498,0.8620950149762596,COMPLETE
103,0.8619162388881932,2026-01-01 11:32:55.356020,2026-01-01 11:33:19.013365,0 days 00:00:23.657345,,7,0.4782154891408276,29,20,791,0.8687181573903747,0.8619162388881932,PRUNED
104,0.8684364496152401,2026-01-01 11:33:19.014379,2026-01-01 11:33:47.274875,0 days 00:00:28.260496,,6,0.729918068504229,25,6,1323,0.8684364496152401,,PRUNED
105,0.8596295903920795,2026-01-01 11:33:47.276205,2026-01-01 11:34:20.605282,0 days 00:00:33.329077,,8,0.45832946264307595,26,22,764,0.862124510021092,,COMPLETE
106,0.859857364370949,2026-01-01 11:34:20.607277,2026-01-01 11:35:11.308405,0 days 00:00:50.701128,,7,0.43322325613121176,28,3,1405,0.8618885496624322,,COMPLETE
107,0.8673348999817011,2026-01-01 11:35:11.309082,2026-01-01 11:35:31.057801,0 days 00:00:19.748719,,6,0.4906379936614911,22,3,1403,0.8673348999817011,,PRUNED
108,0.8603445743564061,2026-01-01 11:35:31.059239,2026-01-01 11:36:03.120960,0 days 00:00:32.061721,balanced,7,0.4006652350421404,28,2,1211,0.8603445743564061,,PRUNED
109,0.8683208771946721,2026-01-01 11:36:03.121996,2026-01-01 11:36:22.136695,0 days 00:00:19.014699,,7,0.4506950835293777,33,29,1346,0.8683208771946721,,PRUNED
110,0.8685110901368571,2026-01-01 11:36:22.137725,2026-01-01 11:36:40.793953,0 days 00:00:18.656228,,7,0.43500689342828475,25,4,1367,0.8685110901368571,,PRUNED
111,0.8683931099575273,2026-01-01 11:36:40.793953,2026-01-01 11:37:03.367742,0 days 00:00:22.573789,,15,0.41595894843228093,31,5,1476,0.8683931099575273,,PRUNED
112,0.8685207211719044,2026-01-01 11:37:03.368782,2026-01-01 11:37:23.235378,0 days 00:00:19.866596,,7,0.42970480628684643,27,7,1431,0.8685207211719044,,PRUNED
113,0.859604068149204,2026-01-01 11:37:23.236381,2026-01-01 11:37:53.221163,0 days 00:00:29.984782,,8,0.4673650278281785,29,8,719,0.8691322918974101,0.8620595005345224,COMPLETE
114,0.8598886652348527,2026-01-01 11:37:53.223184,2026-01-01 11:38:39.428958,0 days 00:00:46.205774,,7,0.4483954026512665,26,21,1297,0.8619926852288815,,COMPLETE
115,0.8682329939998651,2026-01-01 11:38:39.430958,2026-01-01 11:39:10.639380,0 days 00:00:31.208422,,6,0.9925559025992419,24,24,1180,0.8682329939998651,,PRUNED
116,0.8600273521395344,2026-01-01 11:39:10.640389,2026-01-01 11:39:56.347764,0 days 00:00:45.707375,,7,0.4468723686769352,22,19,1298,0.8621738690757096,,COMPLETE
117,0.8598636245437298,2026-01-01 11:39:56.348800,2026-01-01 11:40:51.161302,0 days 00:00:54.812502,,7,0.4796060122345804,26,20,1393,0.8688927199006077,0.8621949369648756,COMPLETE
118,0.8620564908360702,2026-01-01 11:40:51.162600,2026-01-01 11:41:31.202403,0 days 00:00:40.039803,,7,0.5018990720325197,26,20,1294,0.8688024289470391,0.8620564908360702,PRUNED
119,0.8669364159066175,2026-01-01 11:41:31.203438,2026-01-01 11:41:48.395582,0 days 00:00:17.192144,,6,0.48093929803966795,28,23,1284,0.8669364159066175,,PRUNED
120,0.8599050379944334,2026-01-01 11:41:48.396618,2026-01-01 11:42:43.108541,0 days 00:00:54.711923,,7,0.5088443339738573,23,16,1395,0.8688421569666093,0.862183500110757,COMPLETE
121,0.8599276709267943,2026-01-01 11:42:43.108541,2026-01-01 11:43:40.940130,0 days 00:00:57.831589,,7,0.5120478182335135,24,19,1374,0.862202160241161,,COMPLETE
122,0.8598477333359016,2026-01-01 11:43:40.942129,2026-01-01 11:44:41.769513,0 days 00:01:00.827384,,7,0.5230458535049238,23,16,1380,0.8690757095665069,0.8622286455875412,COMPLETE
123,0.8596228486675462,2026-01-01 11:44:41.771508,2026-01-01 11:45:44.675836,0 days 00:01:02.904328,,7,0.535607066038367,20,21,1411,0.8619674037618823,,COMPLETE
124,0.8611216784967881,2026-01-01 11:45:44.677982,2026-01-01 11:46:25.895228,0 days 00:00:41.217246,,6,0.5108924635333009,22,21,1355,0.8611216784967881,,PRUNED
125,0.8620372287659755,2026-01-01 11:46:25.896257,2026-01-01 11:47:03.877200,0 days 00:00:37.980943,,7,0.45513948764373585,25,19,1312,0.868787982394468,0.8620372287659755,PRUNED
126,0.8686206431605203,2026-01-01 11:47:03.878234,2026-01-01 11:47:26.222572,0 days 00:00:22.344338,,7,0.4717653727197197,21,17,1450,0.8686206431605203,,PRUNED
127,0.8673601814487003,2026-01-01 11:47:26.223587,2026-01-01 11:47:49.086094,0 days 00:00:22.862507,,6,0.4942594817579237,24,19,1500,0.8673601814487003,,PRUNED
128,0.8596450000481551,2026-01-01 11:47:49.088155,2026-01-01 11:48:50.404592,0 days 00:01:01.316437,,7,0.5611096482191461,23,22,1386,0.8621401604530439,,COMPLETE
129,0.8665824753686278,2026-01-01 11:48:50.405626,2026-01-01 11:49:13.387500,0 days 00:00:22.981874,balanced,8,0.5478687492180911,26,14,1269,0.8665824753686278,,PRUNED
130,0.8597191590180197,2026-01-01 11:49:13.388500,2026-01-01 11:50:11.011835,0 days 00:00:57.623335,,7,0.511761057352592,29,18,1430,0.8619300835010739,,COMPLETE
131,0.8684027409925744,2026-01-01 11:50:11.012871,2026-01-01 11:50:30.688027,0 days 00:00:19.675156,,7,0.4454867420511257,23,16,1377,0.8684027409925744,,PRUNED
132,0.859842917818378,2026-01-01 11:50:30.689137,2026-01-01 11:51:28.582437,0 days 00:00:57.893300,,7,0.533114321666294,23,16,1378,0.8690877483603163,0.8622244320097081,COMPLETE
133,0.8599445252381273,2026-01-01 11:51:28.583442,2026-01-01 11:52:22.977288,0 days 00:00:54.393846,,7,0.5032848265208696,25,21,1357,0.862196742783947,,COMPLETE
134,0.859852067301673,2026-01-01 11:52:22.978384,2026-01-01 11:53:15.471299,0 days 00:00:52.492915,,7,0.5010471122620946,26,24,1348,0.8620793645443076,,COMPLETE
135,0.8674263948146507,2026-01-01 11:53:15.472598,2026-01-01 11:53:43.403059,0 days 00:00:27.930461,,14,0.4897901590097205,24,19,1458,0.8674263948146507,,PRUNED
136,0.8596560757384598,2026-01-01 11:53:43.404062,2026-01-01 11:54:36.515419,0 days 00:00:53.111357,,8,0.4665102386741705,21,21,1313,0.8622184126128036,,COMPLETE
137,0.8665042232088682,2026-01-01 11:54:36.516672,2026-01-01 11:54:54.030871,0 days 00:00:17.514199,,6,0.4534340206402355,28,23,1402,0.8665042232088682,,PRUNED
138,0.8598116169544742,2026-01-01 11:54:54.031892,2026-01-01 11:55:51.862643,0 days 00:00:57.830751,,7,0.5237378887167594,26,22,1420,0.869297223372596,0.8622575386926833,COMPLETE
139,0.8618951709990271,2026-01-01 11:55:51.864650,2026-01-01 11:56:34.484297,0 days 00:00:42.619647,,7,0.4777876958281968,22,26,1338,0.8618951709990271,,PRUNED
140,0.862001112384548,2026-01-01 11:56:34.486491,2026-01-01 11:57:04.737585,0 days 00:00:30.251094,,8,0.4456750683398496,30,19,936,0.8688012250676581,0.862001112384548,PRUNED
141,0.859935857306585,2026-01-01 11:57:04.739733,2026-01-01 11:57:59.764049,0 days 00:00:55.024316,,7,0.4968310616997473,25,24,1362,0.8688397492078473,0.8621961408442567,COMPLETE
142,0.8599267078232898,2026-01-01 11:57:59.765279,2026-01-01 11:58:55.360117,0 days 00:00:55.594838,,7,0.5033582717594444,25,20,1389,0.8688614190367039,0.8621865098092092,COMPLETE
143,0.8599483776521464,2026-01-01 11:58:55.361625,2026-01-01 11:59:49.788995,0 days 00:00:54.427370,,7,0.512828540277602,25,20,1359,0.8688409530872283,0.8622015583014706,COMPLETE
144,0.8598886652348527,2026-01-01 11:59:49.790415,2026-01-01 12:00:41.786764,0 days 00:00:51.996349,,7,0.5074243062295499,25,25,1246,0.8688216910171336,0.8621702574375668,COMPLETE
145,0.8676166077568357,2026-01-01 12:00:41.788768,2026-01-01 12:00:59.543743,0 days 00:00:17.754975,,6,0.5094024945445735,25,27,1257,0.8676166077568357,,PRUNED
146,0.8615622983502037,2026-01-01 12:00:59.544745,2026-01-01 12:01:49.532021,0 days 00:00:49.987276,,8,0.5727596646912265,24,24,1313,0.8688204871377527,0.8615622983502037,PRUNED
147,0.8598694031647582,2026-01-01 12:01:49.534328,2026-01-01 12:02:41.495511,0 days 00:00:51.961183,,7,0.5185823765432279,22,25,1234,0.8692815729406439,0.8623177326617292,COMPLETE
